match_type,budget,winner,rounds,blue_hp,red_hp,blue_alive,red_alive,blue_comp,red_comp
V2_vs_Simple,45,RED,8,0,46,0,5,CLERIC+ARCHER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER,KNIGHT+ARCHER+MAGE+ASSASSIN+CLERIC+GUARDIAN+PALADIN+WARLOCK
V2_vs_Simple,45,RED,8,0,46,0,5,CLERIC+ARCHER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER,KNIGHT+ARCHER+MAGE+ASSASSIN+CLERIC+GUARDIAN+PALADIN+WARLOCK
V2_vs_Simple,45,RED,8,0,46,0,5,CLERIC+ARCHER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER,KNIGHT+ARCHER+MAGE+ASSASSIN+CLERIC+GUARDIAN+PALADIN+WARLOCK
V2_vs_Simple,45,RED,8,0,46,0,5,CLERIC+ARCHER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER,KNIGHT+ARCHER+MAGE+ASSASSIN+CLERIC+GUARDIAN+PALADIN+WARLOCK
V2_vs_Simple,45,RED,8,0,46,0,5,CLERIC+ARCHER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER,KNIGHT+ARCHER+MAGE+ASSASSIN+CLERIC+GUARDIAN+PALADIN+WARLOCK
V2_vs_Simple,45,RED,8,0,46,0,5,CLERIC+ARCHER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER,KNIGHT+ARCHER+MAGE+ASSASSIN+CLERIC+GUARDIAN+PALADIN+WARLOCK
V2_vs_Simple,45,RED,8,0,46,0,5,CLERIC+ARCHER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER,KNIGHT+ARCHER+MAGE+ASSASSIN+CLERIC+GUARDIAN+PALADIN+WARLOCK
V2_vs_Simple,45,RED,8,0,46,0,5,CLERIC+ARCHER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER,KNIGHT+ARCHER+MAGE+ASSASSIN+CLERIC+GUARDIAN+PALADIN+WARLOCK
V2_vs_Simple,45,RED,8,0,46,0,5,CLERIC+ARCHER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER,KNIGHT+ARCHER+MAGE+ASSASSIN+CLERIC+GUARDIAN+PALADIN+WARLOCK
Simple_vs_V2,45,BLUE,9,26,0,3,0,KNIGHT+ARCHER+MAGE+ASSASSIN+CLERIC+GUARDIAN+PALADIN+WARLOCK,CLERIC+ARCHER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER+BERSERKER
